Secció censal/Sección censal/Census section,Districte/Distrito/District,Municipi/Municipio/Municipality,Data/Fecha/Date,Ús/Uso/Use,Nombre de comptadors/Número de contadores/Number of meters,Consum acumulat (L/dia)/Consumo acumulado (L/día)/Accumulated consumption (L/day)
0810101029,01,L'HOSPITALET LLOBR.,2023-01-31,Comercial/Comercial/Commercial,23,2469
0810101029,01,L'HOSPITALET LLOBR.,2023-01-31,Domèstic/Doméstico/Domestic,363,12657
0810101029,01,L'HOSPITALET LLOBR.,2023-01-31,Industrial/Industrial/Industrial,3,41185
0810101030,01,L'HOSPITALET LLOBR.,2023-01-01,Comercial/Comercial/Commercial,25,95
0810101030,01,L'HOSPITALET LLOBR.,2023-01-01,Domèstic/Doméstico/Domestic,382,12518
0810101030,01,L'HOSPITALET LLOBR.,2023-01-02,Comercial/Comercial/Commercial,25,1211
0810101030,01,L'HOSPITALET LLOBR.,2023-01-02,Domèstic/Doméstico/Domestic,382,11463
0810101030,01,L'HOSPITALET LLOBR.,2023-01-03,Comercial/Comercial/Commercial,25,1574
0810101030,01,L'HOSPITALET LLOBR.,2023-01-03,Domèstic/Doméstico/Domestic,382,11761
0810101030,01,L'HOSPITALET LLOBR.,2023-01-04,Comercial/Comercial/Commercial,25,1736
0810101030,01,L'HOSPITALET LLOBR.,2023-01-04,Domèstic/Doméstico/Domestic,382,11948
0810101030,01,L'HOSPITALET LLOBR.,2023-01-05,Comercial/Comercial/Commercial,25,1700
0810101030,01,L'HOSPITALET LLOBR.,2023-01-05,Domèstic/Doméstico/Domestic,382,12465
0810101030,01,L'HOSPITALET LLOBR.,2023-01-06,Comercial/Comercial/Commercial,25,679
0810101030,01,L'HOSPITALET LLOBR.,2023-01-06,Domèstic/Doméstico/Domestic,382,12737
0810101030,01,L'HOSPITALET LLOBR.,2023-01-07,Comercial/Comercial/Commercial,25,190
0810101030,01,L'HOSPITALET LLOBR.,2023-01-07,Domèstic/Doméstico/Domestic,382,12772
0810101030,01,L'HOSPITALET LLOBR.,2023-01-08,Comercial/Comercial/Commercial,25,158
0810101030,01,L'HOSPITALET LLOBR.,2023-01-08,Domèstic/Doméstico/Domestic,382,13089
0810101030,01,L'HOSPITALET LLOBR.,2023-01-09,Comercial/Comercial/Commercial,25,1516
0810101030,01,L'HOSPITALET LLOBR.,2023-01-09,Domèstic/Doméstico/Domestic,382,12010
0810101030,01,L'HOSPITALET LLOBR.,2023-01-10,Comercial/Comercial/Commercial,25,2293
0810101030,01,L'HOSPITALET LLOBR.,2023-01-10,Domèstic/Doméstico/Domestic,382,12379
0810101030,01,L'HOSPITALET LLOBR.,2023-01-11,Comercial/Comercial/Commercial,25,2230
0810101030,01,L'HOSPITALET LLOBR.,2023-01-11,Domèstic/Doméstico/Domestic,382,12193
0810101030,01,L'HOSPITALET LLOBR.,2023-01-12,Comercial/Comercial/Commercial,25,2496
0810101030,01,L'HOSPITALET LLOBR.,2023-01-12,Domèstic/Doméstico/Domestic,382,11851
0810101030,01,L'HOSPITALET LLOBR.,2023-01-13,Comercial/Comercial/Commercial,25,2425
0810101030,01,L'HOSPITALET LLOBR.,2023-01-13,Domèstic/Doméstico/Domestic,382,11316
0810101030,01,L'HOSPITALET LLOBR.,2023-01-14,Comercial/Comercial/Commercial,25,1730
0810101030,01,L'HOSPITALET LLOBR.,2023-01-14,Domèstic/Doméstico/Domestic,382,13079
0810101030,01,L'HOSPITALET LLOBR.,2023-01-15,Comercial/Comercial/Commercial,25,635
0810101030,01,L'HOSPITALET LLOBR.,2023-01-15,Domèstic/Doméstico/Domestic,382,12879
0810101030,01,L'HOSPITALET LLOBR.,2023-01-16,Comercial/Comercial/Commercial,25,2583
0810101030,01,L'HOSPITALET LLOBR.,2023-01-16,Domèstic/Doméstico/Domestic,382,11270
0810101030,01,L'HOSPITALET LLOBR.,2023-01-17,Comercial/Comercial/Commercial,25,3103
0810101030,01,L'HOSPITALET LLOBR.,2023-01-17,Domèstic/Doméstico/Domestic,382,11406
0810101030,01,L'HOSPITALET LLOBR.,2023-01-18,Comercial/Comercial/Commercial,25,3064
0810101030,01,L'HOSPITALET LLOBR.,2023-01-18,Domèstic/Doméstico/Domestic,382,11770
0810101030,01,L'HOSPITALET LLOBR.,2023-01-19,Comercial/Comercial/Commercial,25,2504
0810101030,01,L'HOSPITALET LLOBR.,2023-01-19,Domèstic/Doméstico/Domestic,382,11738
0810101030,01,L'HOSPITALET LLOBR.,2023-01-20,Comercial/Comercial/Commercial,25,2846
0810101030,01,L'HOSPITALET LLOBR.,2023-01-20,Domèstic/Doméstico/Domestic,382,11748
0810101030,01,L'HOSPITALET LLOBR.,2023-01-21,Comercial/Comercial/Commercial,25,1981
0810101030,01,L'HOSPITALET LLOBR.,2023-01-21,Domèstic/Doméstico/Domestic,382,12187
0810101030,01,L'HOSPITALET LLOBR.,2023-01-22,Comercial/Comercial/Commercial,25,3105
0810101030,01,L'HOSPITALET LLOBR.,2023-01-22,Domèstic/Doméstico/Domestic,382,13558
0810101030,01,L'HOSPITALET LLOBR.,2023-01-23,Comercial/Comercial/Commercial,25,1814
0810101030,01,L'HOSPITALET LLOBR.,2023-01-23,Domèstic/Doméstico/Domestic,382,11781
0810101030,01,L'HOSPITALET LLOBR.,2023-01-24,Comercial/Comercial/Commercial,25,3617
0810101030,01,L'HOSPITALET LLOBR.,2023-01-24,Domèstic/Doméstico/Domestic,382,11705
0810101030,01,L'HOSPITALET LLOBR.,2023-01-25,Comercial/Comercial/Commercial,25,3516
0810101030,01,L'HOSPITALET LLOBR.,2023-01-25,Domèstic/Doméstico/Domestic,382,12268
0810101030,01,L'HOSPITALET LLOBR.,2023-01-26,Comercial/Comercial/Commercial,25,4188
0810101030,01,L'HOSPITALET LLOBR.,2023-01-26,Domèstic/Doméstico/Domestic,382,11952
0810101030,01,L'HOSPITALET LLOBR.,2023-01-27,Comercial/Comercial/Commercial,25,3453
0810101030,01,L'HOSPITALET LLOBR.,2023-01-27,Domèstic/Doméstico/Domestic,382,11205
0810101030,01,L'HOSPITALET LLOBR.,2023-01-28,Comercial/Comercial/Commercial,25,1854
0810101030,01,L'HOSPITALET LLOBR.,2023-01-28,Domèstic/Doméstico/Domestic,382,12594
0810101030,01,L'HOSPITALET LLOBR.,2023-01-29,Comercial/Comercial/Commercial,25,3239
0810101030,01,L'HOSPITALET LLOBR.,2023-01-29,Domèstic/Doméstico/Domestic,382,13546
0810101030,01,L'HOSPITALET LLOBR.,2023-01-30,Comercial/Comercial/Commercial,25,2381
0810101030,01,L'HOSPITALET LLOBR.,2023-01-30,Domèstic/Doméstico/Domestic,382,11875
0810101030,01,L'HOSPITALET LLOBR.,2023-01-31,Comercial/Comercial/Commercial,25,4118
0810101030,01,L'HOSPITALET LLOBR.,2023-01-31,Domèstic/Doméstico/Domestic,382,11795
0810101031,01,L'HOSPITALET LLOBR.,2023-01-01,Comercial/Comercial/Commercial,20,1188
0810101031,01,L'HOSPITALET LLOBR.,2023-01-01,Domèstic/Doméstico/Domestic,525,5660
0810101031,01,L'HOSPITALET LLOBR.,2023-01-02,Comercial/Comercial/Commercial,20,1957
0810101031,01,L'HOSPITALET LLOBR.,2023-01-02,Domèstic/Doméstico/Domestic,525,5224
0810101031,01,L'HOSPITALET LLOBR.,2023-01-03,Comercial/Comercial/Commercial,20,2420
0810101031,01,L'HOSPITALET LLOBR.,2023-01-03,Domèstic/Doméstico/Domestic,525,5592
0810101031,01,L'HOSPITALET LLOBR.,2023-01-04,Comercial/Comercial/Commercial,20,2264
0810101031,01,L'HOSPITALET LLOBR.,2023-01-04,Domèstic/Doméstico/Domestic,525,5758
0810101031,01,L'HOSPITALET LLOBR.,2023-01-05,Comercial/Comercial/Commercial,20,1933
0810101031,01,L'HOSPITALET LLOBR.,2023-01-05,Domèstic/Doméstico/Domestic,525,5763
0810101031,01,L'HOSPITALET LLOBR.,2023-01-06,Comercial/Comercial/Commercial,20,2357
0810101031,01,L'HOSPITALET LLOBR.,2023-01-06,Domèstic/Doméstico/Domestic,525,5900
0810101031,01,L'HOSPITALET LLOBR.,2023-01-07,Comercial/Comercial/Commercial,20,2261
0810101031,01,L'HOSPITALET LLOBR.,2023-01-07,Domèstic/Doméstico/Domestic,525,5978
0810101031,01,L'HOSPITALET LLOBR.,2023-01-08,Comercial/Comercial/Commercial,20,2320
0810101031,01,L'HOSPITALET LLOBR.,2023-01-08,Domèstic/Doméstico/Domestic,525,5675
0810101031,01,L'HOSPITALET LLOBR.,2023-01-09,Comercial/Comercial/Commercial,20,1908
0810101031,01,L'HOSPITALET LLOBR.,2023-01-09,Domèstic/Doméstico/Domestic,525,5692
0810101031,01,L'HOSPITALET LLOBR.,2023-01-10,Comercial/Comercial/Commercial,20,1919
0810101031,01,L'HOSPITALET LLOBR.,2023-01-10,Domèstic/Doméstico/Domestic,525,5485
0810101031,01,L'HOSPITALET LLOBR.,2023-01-11,Comercial/Comercial/Commercial,20,2123
0810101031,01,L'HOSPITALET LLOBR.,2023-01-11,Domèstic/Doméstico/Domestic,525,5391
0810101031,01,L'HOSPITALET LLOBR.,2023-01-12,Comercial/Comercial/Commercial,20,2278
0810101031,01,L'HOSPITALET LLOBR.,2023-01-12,Domèstic/Doméstico/Domestic,526,5420
0810101031,01,L'HOSPITALET LLOBR.,2023-01-13,Comercial/Comercial/Commercial,20,3593
0810101031,01,L'HOSPITALET LLOBR.,2023-01-13,Domèstic/Doméstico/Domestic,526,5286
0810101031,01,L'HOSPITALET LLOBR.,2023-01-14,Comercial/Comercial/Commercial,20,1916
0810101031,01,L'HOSPITALET LLOBR.,2023-01-14,Domèstic/Doméstico/Domestic,526,6094
0810101031,01,L'HOSPITALET LLOBR.,2023-01-15,Comercial/Comercial/Commercial,20,1612
0810101031,01,L'HOSPITALET LLOBR.,2023-01-15,Domèstic/Doméstico/Domestic,526,5832
0810101031,01,L'HOSPITALET LLOBR.,2023-01-16,Comercial/Comercial/Commercial,20,2111
0810101031,01,L'HOSPITALET LLOBR.,2023-01-16,Domèstic/Doméstico/Domestic,526,5231
0810101031,01,L'HOSPITALET LLOBR.,2023-01-17,Comercial/Comercial/Commercial,20,2694
0810101031,01,L'HOSPITALET LLOBR.,2023-01-17,Domèstic/Doméstico/Domestic,526,5185
0810101031,01,L'HOSPITALET LLOBR.,2023-01-18,Comercial/Comercial/Commercial,20,2577
0810101031,01,L'HOSPITALET LLOBR.,2023-01-18,Domèstic/Doméstico/Domestic,526,5607
0810101031,01,L'HOSPITALET LLOBR.,2023-01-19,Comercial/Comercial/Commercial,20,2020
0810101031,01,L'HOSPITALET LLOBR.,2023-01-19,Domèstic/Doméstico/Domestic,526,5315
0810101031,01,L'HOSPITALET LLOBR.,2023-01-20,Comercial/Comercial/Commercial,20,2841
0810101031,01,L'HOSPITALET LLOBR.,2023-01-20,Domèstic/Doméstico/Domestic,526,5203
0810101031,01,L'HOSPITALET LLOBR.,2023-01-21,Comercial/Comercial/Commercial,20,2707
0810101031,01,L'HOSPITALET LLOBR.,2023-01-21,Domèstic/Doméstico/Domestic,526,5765
0810101031,01,L'HOSPITALET LLOBR.,2023-01-22,Comercial/Comercial/Commercial,20,1998
0810101031,01,L'HOSPITALET LLOBR.,2023-01-22,Domèstic/Doméstico/Domestic,526,6141
0810101031,01,L'HOSPITALET LLOBR.,2023-01-23,Comercial/Comercial/Commercial,20,1786
0810101031,01,L'HOSPITALET LLOBR.,2023-01-23,Domèstic/Doméstico/Domestic,526,5193
0810101031,01,L'HOSPITALET LLOBR.,2023-01-24,Comercial/Comercial/Commercial,20,2094
0810101031,01,L'HOSPITALET LLOBR.,2023-01-24,Domèstic/Doméstico/Domestic,526,5130
0810101031,01,L'HOSPITALET LLOBR.,2023-01-25,Comercial/Comercial/Commercial,20,2564
0810101031,01,L'HOSPITALET LLOBR.,2023-01-25,Domèstic/Doméstico/Domestic,526,5376
0810101031,01,L'HOSPITALET LLOBR.,2023-01-26,Comercial/Comercial/Commercial,20,1720
0810101031,01,L'HOSPITALET LLOBR.,2023-01-26,Domèstic/Doméstico/Domestic,526,5559
0810101031,01,L'HOSPITALET LLOBR.,2023-01-27,Comercial/Comercial/Commercial,20,2814
0810101031,01,L'HOSPITALET LLOBR.,2023-01-27,Domèstic/Doméstico/Domestic,526,5700
0810101031,01,L'HOSPITALET LLOBR.,2023-01-28,Comercial/Comercial/Commercial,20,2752
0810101031,01,L'HOSPITALET LLOBR.,2023-01-28,Domèstic/Doméstico/Domestic,526,5811
0810101031,01,L'HOSPITALET LLOBR.,2023-01-29,Comercial/Comercial/Commercial,20,1671
0810101031,01,L'HOSPITALET LLOBR.,2023-01-29,Domèstic/Doméstico/Domestic,526,5965
0810101031,01,L'HOSPITALET LLOBR.,2023-01-30,Comercial/Comercial/Commercial,20,2237
0810101031,01,L'HOSPITALET LLOBR.,2023-01-30,Domèstic/Doméstico/Domestic,526,5856
0810101031,01,L'HOSPITALET LLOBR.,2023-01-31,Comercial/Comercial/Commercial,20,3036
0810101031,01,L'HOSPITALET LLOBR.,2023-01-31,Domèstic/Doméstico/Domestic,526,5744
0810101032,01,L'HOSPITALET LLOBR.,2023-01-01,Comercial/Comercial/Commercial,62,4827
0810101032,01,L'HOSPITALET LLOBR.,2023-01-01,Domèstic/Doméstico/Domestic,951,25049
0810101032,01,L'HOSPITALET LLOBR.,2023-01-02,Comercial/Comercial/Commercial,62,6332
0810101032,01,L'HOSPITALET LLOBR.,2023-01-02,Domèstic/Doméstico/Domestic,952,24892
0810101032,01,L'HOSPITALET LLOBR.,2023-01-03,Comercial/Comercial/Commercial,62,11024
0810101032,01,L'HOSPITALET LLOBR.,2023-01-03,Domèstic/Doméstico/Domestic,952,24021
0810101032,01,L'HOSPITALET LLOBR.,2023-01-04,Comercial/Comercial/Commercial,62,11968
0810101032,01,L'HOSPITALET LLOBR.,2023-01-04,Domèstic/Doméstico/Domestic,952,24492
0810101032,01,L'HOSPITALET LLOBR.,2023-01-05,Comercial/Comercial/Commercial,62,8132
0810101032,01,L'HOSPITALET LLOBR.,2023-01-05,Domèstic/Doméstico/Domestic,952,25025
0810101032,01,L'HOSPITALET LLOBR.,2023-01-06,Comercial/Comercial/Commercial,62,8764
0810101032,01,L'HOSPITALET LLOBR.,2023-01-06,Domèstic/Doméstico/Domestic,952,25430
0810101032,01,L'HOSPITALET LLOBR.,2023-01-07,Comercial/Comercial/Commercial,62,6421
0810101032,01,L'HOSPITALET LLOBR.,2023-01-07,Domèstic/Doméstico/Domestic,952,25071
0810101032,01,L'HOSPITALET LLOBR.,2023-01-08,Comercial/Comercial/Commercial,62,6348
0810101032,01,L'HOSPITALET LLOBR.,2023-01-08,Domèstic/Doméstico/Domestic,952,25972
0810101032,01,L'HOSPITALET LLOBR.,2023-01-09,Comercial/Comercial/Commercial,62,6972
0810101032,01,L'HOSPITALET LLOBR.,2023-01-09,Domèstic/Doméstico/Domestic,952,25196
0810101032,01,L'HOSPITALET LLOBR.,2023-01-10,Comercial/Comercial/Commercial,62,7995
0810101032,01,L'HOSPITALET LLOBR.,2023-01-10,Domèstic/Doméstico/Domestic,952,24522
0810101032,01,L'HOSPITALET LLOBR.,2023-01-11,Comercial/Comercial/Commercial,62,11127
0810101032,01,L'HOSPITALET LLOBR.,2023-01-11,Domèstic/Doméstico/Domestic,952,24714
0810101032,01,L'HOSPITALET LLOBR.,2023-01-12,Comercial/Comercial/Commercial,62,7923
0810101032,01,L'HOSPITALET LLOBR.,2023-01-12,Domèstic/Doméstico/Domestic,952,23580
0810101032,01,L'HOSPITALET LLOBR.,2023-01-13,Comercial/Comercial/Commercial,62,7902
0810101032,01,L'HOSPITALET LLOBR.,2023-01-13,Domèstic/Doméstico/Domestic,953,23454
0810101032,01,L'HOSPITALET LLOBR.,2023-01-14,Comercial/Comercial/Commercial,62,7777
0810101032,01,L'HOSPITALET LLOBR.,2023-01-14,Domèstic/Doméstico/Domestic,953,26729
0810101032,01,L'HOSPITALET LLOBR.,2023-01-15,Comercial/Comercial/Commercial,62,7863
0810101032,01,L'HOSPITALET LLOBR.,2023-01-15,Domèstic/Doméstico/Domestic,953,25941
0810101032,01,L'HOSPITALET LLOBR.,2023-01-16,Comercial/Comercial/Commercial,62,9206
0810101032,01,L'HOSPITALET LLOBR.,2023-01-16,Domèstic/Doméstico/Domestic,953,23863
0810101032,01,L'HOSPITALET LLOBR.,2023-01-17,Comercial/Comercial/Commercial,62,10375
0810101032,01,L'HOSPITALET LLOBR.,2023-01-17,Domèstic/Doméstico/Domestic,953,23702
0810101032,01,L'HOSPITALET LLOBR.,2023-01-18,Comercial/Comercial/Commercial,62,8995
0810101032,01,L'HOSPITALET LLOBR.,2023-01-18,Domèstic/Doméstico/Domestic,953,24321
0810101032,01,L'HOSPITALET LLOBR.,2023-01-19,Comercial/Comercial/Commercial,62,12004
0810101032,01,L'HOSPITALET LLOBR.,2023-01-19,Domèstic/Doméstico/Domestic,953,23802
0810101032,01,L'HOSPITALET LLOBR.,2023-01-20,Comercial/Comercial/Commercial,62,8993
0810101032,01,L'HOSPITALET LLOBR.,2023-01-20,Domèstic/Doméstico/Domestic,953,24596
0810101032,01,L'HOSPITALET LLOBR.,2023-01-21,Comercial/Comercial/Commercial,62,7478
0810101032,01,L'HOSPITALET LLOBR.,2023-01-21,Domèstic/Doméstico/Domestic,953,26090
0810101032,01,L'HOSPITALET LLOBR.,2023-01-22,Comercial/Comercial/Commercial,62,8688
0810101032,01,L'HOSPITALET LLOBR.,2023-01-22,Domèstic/Doméstico/Domestic,953,27340
0810101032,01,L'HOSPITALET LLOBR.,2023-01-23,Comercial/Comercial/Commercial,62,7247
0810101032,01,L'HOSPITALET LLOBR.,2023-01-23,Domèstic/Doméstico/Domestic,953,24003
0810101032,01,L'HOSPITALET LLOBR.,2023-01-24,Comercial/Comercial/Commercial,62,7455
0810101032,01,L'HOSPITALET LLOBR.,2023-01-24,Domèstic/Doméstico/Domestic,953,23992
0810101032,01,L'HOSPITALET LLOBR.,2023-01-25,Comercial/Comercial/Commercial,62,7569
0810101032,01,L'HOSPITALET LLOBR.,2023-01-25,Domèstic/Doméstico/Domestic,954,24726
0810101032,01,L'HOSPITALET LLOBR.,2023-01-26,Comercial/Comercial/Commercial,62,8181
0810101032,01,L'HOSPITALET LLOBR.,2023-01-26,Domèstic/Doméstico/Domestic,954,25173
0810101032,01,L'HOSPITALET LLOBR.,2023-01-27,Comercial/Comercial/Commercial,62,7717
0810101032,01,L'HOSPITALET LLOBR.,2023-01-27,Domèstic/Doméstico/Domestic,954,24897
0810101032,01,L'HOSPITALET LLOBR.,2023-01-28,Comercial/Comercial/Commercial,62,6033
0810101032,01,L'HOSPITALET LLOBR.,2023-01-28,Domèstic/Doméstico/Domestic,954,26290
0810101032,01,L'HOSPITALET LLOBR.,2023-01-29,Comercial/Comercial/Commercial,62,6061
0810101032,01,L'HOSPITALET LLOBR.,2023-01-29,Domèstic/Doméstico/Domestic,954,27307
0810101032,01,L'HOSPITALET LLOBR.,2023-01-30,Comercial/Comercial/Commercial,62,7061
0810101032,01,L'HOSPITALET LLOBR.,2023-01-30,Domèstic/Doméstico/Domestic,954,24516
0810101032,01,L'HOSPITALET LLOBR.,2023-01-31,Comercial/Comercial/Commercial,62,6123
0810101032,01,L'HOSPITALET LLOBR.,2023-01-31,Domèstic/Doméstico/Domestic,954,25798
0810101033,01,L'HOSPITALET LLOBR.,2023-01-01,Comercial/Comercial/Commercial,28,2148
0810101033,01,L'HOSPITALET LLOBR.,2023-01-01,Domèstic/Doméstico/Domestic,331,7631
0810101033,01,L'HOSPITALET LLOBR.,2023-01-01,Industrial/Industrial/Industrial,3,318
0810101033,01,L'HOSPITALET LLOBR.,2023-01-02,Comercial/Comercial/Commercial,28,2468
0810101033,01,L'HOSPITALET LLOBR.,2023-01-02,Domèstic/Doméstico/Domestic,331,8338
0810101033,01,L'HOSPITALET LLOBR.,2023-01-02,Industrial/Industrial/Industrial,3,44
0810101033,01,L'HOSPITALET LLOBR.,2023-01-03,Comercial/Comercial/Commercial,28,4566
0810101033,01,L'HOSPITALET LLOBR.,2023-01-03,Domèstic/Doméstico/Domestic,331,8195
0810101033,01,L'HOSPITALET LLOBR.,2023-01-03,Industrial/Industrial/Industrial,3,200
0810101033,01,L'HOSPITALET LLOBR.,2023-01-04,Comercial/Comercial/Commercial,28,5663
0810101033,01,L'HOSPITALET LLOBR.,2023-01-04,Domèstic/Doméstico/Domestic,331,8723
0810101033,01,L'HOSPITALET LLOBR.,2023-01-04,Industrial/Industrial/Industrial,3,132
0810101033,01,L'HOSPITALET LLOBR.,2023-01-05,Comercial/Comercial/Commercial,28,6361
0810101033,01,L'HOSPITALET LLOBR.,2023-01-05,Domèstic/Doméstico/Domestic,331,8216
0810101033,01,L'HOSPITALET LLOBR.,2023-01-05,Industrial/Industrial/Industrial,3,147
0810101033,01,L'HOSPITALET LLOBR.,2023-01-06,Comercial/Comercial/Commercial,28,4099
0810101033,01,L'HOSPITALET LLOBR.,2023-01-06,Domèstic/Doméstico/Domestic,331,8329
0810101033,01,L'HOSPITALET LLOBR.,2023-01-06,Industrial/Industrial/Industrial,3,130
0810101033,01,L'HOSPITALET LLOBR.,2023-01-07,Comercial/Comercial/Commercial,28,4813
0810101033,01,L'HOSPITALET LLOBR.,2023-01-07,Domèstic/Doméstico/Domestic,331,8618
0810101033,01,L'HOSPITALET LLOBR.,2023-01-07,Industrial/Industrial/Industrial,3,127
0810101033,01,L'HOSPITALET LLOBR.,2023-01-08,Comercial/Comercial/Commercial,28,3784
0810101033,01,L'HOSPITALET LLOBR.,2023-01-08,Domèstic/Doméstico/Domestic,331,9122
0810101033,01,L'HOSPITALET LLOBR.,2023-01-08,Industrial/Industrial/Industrial,3,387
0810101033,01,L'HOSPITALET LLOBR.,2023-01-09,Comercial/Comercial/Commercial,28,2807
0810101033,01,L'HOSPITALET LLOBR.,2023-01-09,Domèstic/Doméstico/Domestic,331,10129
0810101033,01,L'HOSPITALET LLOBR.,2023-01-09,Industrial/Industrial/Industrial,3,60
0810101033,01,L'HOSPITALET LLOBR.,2023-01-10,Comercial/Comercial/Commercial,28,4259
0810101033,01,L'HOSPITALET LLOBR.,2023-01-10,Domèstic/Doméstico/Domestic,331,8221
0810101033,01,L'HOSPITALET LLOBR.,2023-01-10,Industrial/Industrial/Industrial,3,111
0810101033,01,L'HOSPITALET LLOBR.,2023-01-11,Comercial/Comercial/Commercial,28,5273
0810101033,01,L'HOSPITALET LLOBR.,2023-01-11,Domèstic/Doméstico/Domestic,331,8370
0810101033,01,L'HOSPITALET LLOBR.,2023-01-11,Industrial/Industrial/Industrial,3,208
0810101033,01,L'HOSPITALET LLOBR.,2023-01-12,Comercial/Comercial/Commercial,28,5450
0810101033,01,L'HOSPITALET LLOBR.,2023-01-12,Domèstic/Doméstico/Domestic,331,8202
0810101033,01,L'HOSPITALET LLOBR.,2023-01-12,Industrial/Industrial/Industrial,3,177
0810101033,01,L'HOSPITALET LLOBR.,2023-01-13,Comercial/Comercial/Commercial,28,5957
0810101033,01,L'HOSPITALET LLOBR.,2023-01-13,Domèstic/Doméstico/Domestic,331,8209
0810101033,01,L'HOSPITALET LLOBR.,2023-01-13,Industrial/Industrial/Industrial,3,278
0810101033,01,L'HOSPITALET LLOBR.,2023-01-14,Comercial/Comercial/Commercial,28,6464
0810101033,01,L'HOSPITALET LLOBR.,2023-01-14,Domèstic/Doméstico/Domestic,331,9221
0810101033,01,L'HOSPITALET LLOBR.,2023-01-14,Industrial/Industrial/Industrial,3,404
0810101033,01,L'HOSPITALET LLOBR.,2023-01-15,Comercial/Comercial/Commercial,28,3450
0810101033,01,L'HOSPITALET LLOBR.,2023-01-15,Domèstic/Doméstico/Domestic,331,9527
0810101033,01,L'HOSPITALET LLOBR.,2023-01-15,Industrial/Industrial/Industrial,3,626
0810101033,01,L'HOSPITALET LLOBR.,2023-01-16,Comercial/Comercial/Commercial,28,2624
0810101033,01,L'HOSPITALET LLOBR.,2023-01-16,Domèstic/Doméstico/Domestic,331,8590
0810101033,01,L'HOSPITALET LLOBR.,2023-01-16,Industrial/Industrial/Industrial,3,63
0810101033,01,L'HOSPITALET LLOBR.,2023-01-17,Comercial/Comercial/Commercial,28,3430
0810101033,01,L'HOSPITALET LLOBR.,2023-01-17,Domèstic/Doméstico/Domestic,331,8182
0810101033,01,L'HOSPITALET LLOBR.,2023-01-17,Industrial/Industrial/Industrial,3,124
0810101033,01,L'HOSPITALET LLOBR.,2023-01-18,Comercial/Comercial/Commercial,28,4727
0810101033,01,L'HOSPITALET LLOBR.,2023-01-18,Domèstic/Doméstico/Domestic,331,8444
0810101033,01,L'HOSPITALET LLOBR.,2023-01-18,Industrial/Industrial/Industrial,3,215
0810101033,01,L'HOSPITALET LLOBR.,2023-01-19,Comercial/Comercial/Commercial,28,4426
0810101033,01,L'HOSPITALET LLOBR.,2023-01-19,Domèstic/Doméstico/Domestic,331,8055
0810101033,01,L'HOSPITALET LLOBR.,2023-01-19,Industrial/Industrial/Industrial,3,257
0810101033,01,L'HOSPITALET LLOBR.,2023-01-20,Comercial/Comercial/Commercial,28,6682
0810101033,01,L'HOSPITALET LLOBR.,2023-01-20,Domèstic/Doméstico/Domestic,331,7785
0810101033,01,L'HOSPITALET LLOBR.,2023-01-20,Industrial/Industrial/Industrial,3,237
0810101033,01,L'HOSPITALET LLOBR.,2023-01-21,Comercial/Comercial/Commercial,28,5193
0810101033,01,L'HOSPITALET LLOBR.,2023-01-21,Domèstic/Doméstico/Domestic,331,8924
0810101033,01,L'HOSPITALET LLOBR.,2023-01-21,Industrial/Industrial/Industrial,3,248
0810101033,01,L'HOSPITALET LLOBR.,2023-01-22,Comercial/Comercial/Commercial,28,5801
0810101033,01,L'HOSPITALET LLOBR.,2023-01-22,Domèstic/Doméstico/Domestic,331,9567
0810101033,01,L'HOSPITALET LLOBR.,2023-01-22,Industrial/Industrial/Industrial,3,619
0810101033,01,L'HOSPITALET LLOBR.,2023-01-23,Comercial/Comercial/Commercial,28,3347
0810101033,01,L'HOSPITALET LLOBR.,2023-01-23,Domèstic/Doméstico/Domestic,331,9626
0810101033,01,L'HOSPITALET LLOBR.,2023-01-23,Industrial/Industrial/Industrial,3,182
0810101033,01,L'HOSPITALET LLOBR.,2023-01-24,Comercial/Comercial/Commercial,28,4005
0810101033,01,L'HOSPITALET LLOBR.,2023-01-24,Domèstic/Doméstico/Domestic,331,7615
0810101033,01,L'HOSPITALET LLOBR.,2023-01-24,Industrial/Industrial/Industrial,3,134
0810101033,01,L'HOSPITALET LLOBR.,2023-01-25,Comercial/Comercial/Commercial,28,4275
0810101033,01,L'HOSPITALET LLOBR.,2023-01-25,Domèstic/Doméstico/Domestic,331,8386
0810101033,01,L'HOSPITALET LLOBR.,2023-01-25,Industrial/Industrial/Industrial,3,204
0810101033,01,L'HOSPITALET LLOBR.,2023-01-26,Comercial/Comercial/Commercial,28,3778
0810101033,01,L'HOSPITALET LLOBR.,2023-01-26,Domèstic/Doméstico/Domestic,331,8139
0810101033,01,L'HOSPITALET LLOBR.,2023-01-26,Industrial/Industrial/Industrial,3,394
0810101033,01,L'HOSPITALET LLOBR.,2023-01-27,Comercial/Comercial/Commercial,28,5677
0810101033,01,L'HOSPITALET LLOBR.,2023-01-27,Domèstic/Doméstico/Domestic,331,8254
0810101033,01,L'HOSPITALET LLOBR.,2023-01-27,Industrial/Industrial/Industrial,3,307
0810101033,01,L'HOSPITALET LLOBR.,2023-01-28,Comercial/Comercial/Commercial,28,4595
0810101033,01,L'HOSPITALET LLOBR.,2023-01-28,Domèstic/Doméstico/Domestic,331,8753
0810101033,01,L'HOSPITALET LLOBR.,2023-01-28,Industrial/Industrial/Industrial,3,278
